"UF;MUNICÍPIO;IBGE;TIPOLOGIA;ZONA;NOME DO ESTABELECIMENTO;STATUS"
"TO;TUPIRAMA;1721257;NÃO INFORMADO;URBANO;CENTRO DA JUVENTUDE ;ATIVADO                                                                                                                                   "
"TO;TAGUATINGA;1720903;ESCOLA;RURAL;ESC MUN ALTAMIRA;ATIVADO                                                                                                                                             "
"TO;SAO BENTO DO TOCANTINS;1720101;TELECENTRO;URBANO;KIT - TELECENTRO DE SAO BENTO DO TOCANTINS;ATIVADO                                                                                                  "
"TO;SANTA ROSA DO TOCANTINS;1718907;TELECENTRO;URBANO;TELECENTRO COMUNITARIO  SANTA ROSA DO TOCANTINS;ATIVADO                                                                                            "
"TO;PORTO NACIONAL;1718204;TELECENTRO;RURAL;TELECENTRO COMUNITARIO DE PORTO NACIONAL III;ATIVADO                                                                                                         "
"TO;PALMAS;1721000;POSTO DE FRONTEIRA;RURAL;EB/22 BATALHAO DE INFANTARIA;ATIVADO                                                                                                                         "
"TO;PALMAS;1721000;POSTO DE FRONTEIRA;URBANO;MB/CAPITANIA FLUVIAL DO ARAGUAIA  TOCANTINS;ATIVADO                                                                                                         "
"SP;UBATUBA;3555406;QUILOMBO;RURAL;ASSOCIACAO DA COMUNIDADE DOS REMANESCENTES DE QUILOMBO DA FAZENDA;ATIVADO                                                                                             "
"SP;TEODORO SAMPAIO;3554300;ASSENTAMENTO;RURAL;ASSOCIACAO PROGRESSO DO ASSENTAMENTO FUSQUINHA;ATIVADO                                                                                                    "
"SP;TEJUPA;3554201;NÃO INFORMADO;RURAL;PREFEITURA MUNICIPAL DE TEJUPA;ATIVADO                                                                                                                            "
"SP;TAQUARIVAI;3553856;ESCOLA;URBANO;KIT - MANOEL YUKITO KITAMURA EM R;ATIVADO                                                                                                                           "
"SP;SAO SEBASTIAO;3550704;POSTO DE FRONTEIRA;URBANO;MB/FAROL DA PONTA DO BOI;ATIVADO                                                                                                                     "
"SP;SÃO ROQUE;3550605;ESCOLA;RURAL;KIT - RUTTE RODRIGUES DE CARVALHO PROFESSORA EMEIF RURAL;ATIVADO                                                                                                      "
"SP;SÃO ROQUE;3550605;POSTO DE FRONTEIRA;RURAL;FAB/DESTACAMENTO DE CONTROLE DO ESPACO AEREO  SAO ROQUE;ATIVADO                                                                                           "
"SP;SÃO PAULO;3550308;TC_BR;URBANO;MAMAE ASSOCIACAO DE ASSISTENCIA A CRIANCA SANTAMARENSE;EM ATIVAÇÃO                                                                                                    "
"SP;SAO JOAQUIM DA BARRA;3549409;ESCOLA;URBANO;KIT - WANIA MARIA ANDRIANI FERNANDES PROFA EMEI;ATIVADO                                                                                                   "
"SP;SANTA BARBARA DOESTE;3545803;BIBLIOTECA;URBANO;KIT - BIBLIOTECA PUBLICA MUNICIPAL MARIA APARECIDA DE ALMEIDA NOGUEIRA;ATIVADO                                                                        "
"SP;SALTO DE PIRAPORA;3545308;QUILOMBO;URBANO;QUILOMBO CAFUNDO;ATIVADO                                                                                                                                   "
"SP;SALTO;3545209;TELECENTRO;URBANO;KIT - NUCLEO FAMILIA DO JARDIM SALTENSE;ATIVADO                                                                                                                      "
"SP;RIBEIRAO PRETO;3543402;ASSENTAMENTO;RURAL;CENTRO DE FORMACAO SOCIO AGRICOLA DOM HELDER CAMARA;ATIVADO                                                                                                "
"SP;REGISTRO;3542602;CRAS;URBANO;CENTRO COMUNITARIO DO ARAPONGAL / CRAS;ATIVADO                                                                                                                          "
"SP;REGENTE FEIJO;3542404;ESCOLA;URBANO;KIT - APARECIDA CONTESSOTO PROFA EMEFEI;ATIVADO                                                                                                                  "
"SP;QUATA;3541703;BIBLIOTECA;URBANO;KIT - BIBLIOTECA MUNICIPAL;ATIVADO                                                                                                                                   "
"SP;PRESIDENTE EPITACIO;3541307;ASSENTAMENTO;RURAL;BARRACAO DA SEDE DO ASSENTAMENTO SAO PAULO ;ATIVADO                                                                                                   "
"SP;PIRASSUNUNGA;3539301;POSTO DE FRONTEIRA;URBANO;EB/2 REGIMENTO DE CARROS DE COMBATE;ATIVADO                                                                                                           "
"SP;PIRAJU;3538808;ESCOLA;URBANO;KIT - EMEI PROFESSORA CLOTILDE FERREIRA NEGRAO;ATIVADO                                                                                                                  "
"SP;PENAPOLIS;3537305;BIBLIOTECA;URBANO;KIT - BIBLIOTECA MUNICIPAL;ATIVADO                                                                                                                               "
"SP;PARIQUERA-ACU;3536208;ESCOLA;URBANO;KIT - BAIRRO SENADOR DANTAS EMEIF;ATIVADO                                                                                                                        "
"SP;OSASCO;3534401;ESCOLA;URBANO;POLO UAB  OSASCO / CENTRO DE FORMACAO CONTINUADA;ATIVADO                                                                                                                "
"SP;ORLANDIA;3534302;BIBLIOTECA;URBANO;KIT - BIBLIOTECA PUBLICA PROFESSOR GERALDO RODRIGUES;ATIVADO                                                                                                      "
"SP;LARANJAL PAULISTA;3526407;BIBLIOTECA;URBANO;KIT - BIBLIOTECA MUNICIPAL;EM ATIVAÇÃO                                                                                                                   "
"SP;JANDIRA;3525003;ESCOLA;URBANO;POLO UAB  JANDIRA;ATIVADO                                                                                                                                              "
"SP;JANDIRA;3525003;TELECENTRO;URBANO;KIT - CENTRO DE REFERENCIA DE ASSISTENCIA SOCIAL FIGUEIRAO;ATIVADO                                                                                                 "
"SP;ITU;3523909;NÃO INFORMADO;URBANO;PREFEITURA DE ITU  DEPARTAMENTO DE AGRICULTURA E ABASTECIMENTO;ATIVADO                                                                                              "
"SP;ITATIBA;3523404;QUILOMBO;URBANO;QUILOMBO BROTAS;ATIVADO                                                                                                                                              "
"SP;ITAPEVI;3522505;ESCOLA;URBANO;POLO UAB  ITAPEVI;ATIVADO                                                                                                                                              "
"SP;ITAPEVA;3522406;QUILOMBO;URBANO;QUILOMBO JAO;ATIVADO                                                                                                                                                 "
"SP;IGUAPE;3520301;TC_BR;URBANO;TELECENTRO DA PESCA MARE  IGUAPE  SP;ATIVADO                                                                                                                             "
"SP;GUARATINGUETA;3518404;POSTO DE FRONTEIRA;URBANO;FAB/ESCOLA DE ESPECIALISTAS DA AERONAUTICA  EEAR;ATIVADO                                                                                             "
"SP;FRANCA;3516200;ESCOLA;URBANO;KIT - FLORESTAN FERNANDES PROF EMEB;ATIVADO                                                                                                                             "
"SP;ENGENHEIRO COELHO;3515152;BIBLIOTECA;URBANO;B M JOSE AFONSO HAECK;ATIVADO                                                                                                                            "
"SP;ELIAS FAUSTO;3514908;ESCOLA;URBANO;KIT - APARECIDA DO CARMO MASCHIETTO ESCOLA MUNICIPAL;ATIVADO                                                                                                      "
"SP;ELDORADO;3514809;QUILOMBO;RURAL;ASSOCIACAO QUILOMBO DE IVAPORUNDUVA;ATIVADO                                                                                                                          "
"SP;ELDORADO;3514809;QUILOMBO;URBANO;ASSOCIACAO DOS REMANESCENTES DE QUILOMBO DO BAIRRO POCA;ATIVADO                                                                                                     "
"SP;ELDORADO;3514809;QUILOMBO;URBANO;ASSOCIACAO DOS REMANESCENTES DE QUILOMBO DE SAO PEDRO;ATIVADO                                                                                                       "
"SP;ELDORADO;3514809;QUILOMBO;RURAL;ASSOCIACAO DOS REMANESCENTES DE QUILOMBO DO BAIRRO NHUNGUARA;ATIVADO                                                                                                 "
"SP;ELDORADO;3514809;QUILOMBO;RURAL;QUILOMBO ANDRE LOPES;ATIVADO                                                                                                                                         "
"SP;CAMPINAS;3509502;TC_BR;URBANO;CASA DE CULTURA TAINA;ATIVADO                                                                                                                                          "
"SP;CAIUA;3509106;ESCOLA;URBANO;KIT - EMEI FRANCISCO FRANCINER DE SOUSA;ATIVADO                                                                                                                          "
"SP;BURITAMA;3508108;NÃO INFORMADO;URBANO;B P M PROFESSOR OSWALDO JANUZZI;ATIVADO                                                                                                                        "
"SP;BIRITIBA-MIRIM;3506607;TELECENTRO;URBANO;KIT - ASSISTENCIA SOCIAL DE BIRITIBA MIRIM;ATIVADO                                                                                                          "
"SP;BARRA DO TURVO;3505401;QUILOMBO;RURAL;ASSOCIACAO DOS REMANESCENTES DE QUILOMBO DOS BAIRROS RIBEIRAO GRANDE E TERRA ;ATIVADO                                                                          "
"SP;BARAO DE ANTONINA;3505005;TELECENTRO;URBANO;KIT - ANEXO A PREFEITURA MUNICIPAL;ATIVADO                                                                                                               "
"SP;BALSAMO;3504800;ESCOLA;URBANO;POLO UAB  BALSAMO;ATIVADO                                                                                                                                              "
"SP;BADY BASSITT;3504602;NÃO INFORMADO;URBANO;B P M MONTEIRO LOBATO;ATIVADO                                                                                                                              "
"SP;ARUJA;3503901;BIBLIOTECA;URBANO;KIT - BIBLIOTECA MUNICIPAL ALDA SONSINE;ATIVADO                                                                                                                      "
"SP;ARIRANHA;3503703;ESCOLA;URBANO;KIT - DIRCILIA CARVALHO PEREIRA GUTIERREZ PROFESSORA EMEF;ATIVADO                                                                                                     "
"SP;ARANDU;3503109;ESCOLA;URBANO;KIT - ESCOLA MUNICIPAL SAGRADO CORACAO DE JESUS;ATIVADO                                                                                                                 "
"SE;UMBAUBA;2807600;ESCOLA;RURAL;KIT - EMEF TOBIAS BARRETO;ATIVADO                                                                                                                                       "
"SE;TOBIAS BARRETO;2807402;ESCOLA;RURAL;KIT - ESC MUL DE ENSINO FUND AMINTAS L RAMOS;ATIVADO                                                                                                             "
"SE;SAO DOMINGOS;2806800;ESCOLA;URBANO;POLO UAB  SAO DOMINGOS;ATIVADO                                                                                                                                    "
"SE;ROSARIO DO CATETE;2806107;CRAS;URBANO;KIT - CENTRO DE REFERENCIA DE ASSISTENCIA SOCIAL CRAS;ATIVADO                                                                                                  "
"SE;PORTO DA FOLHA;2805604;ESCOLA;URBANO;POLO UAB  PORTO FOLHA;ATIVADO                                                                                                                                   "
"SE;PORTO DA FOLHA;2805604;ESCOLA;URBANO;KIT - ESCOLA MUNICIPAL TOMAZ BERMUDES;ATIVADO                                                                                                                   "
"SE;POCO REDONDO;2805406;TELECENTRO;RURAL;TELECENTRO COEP FAZENDA PIONEIRA  ASSOCIACAO DOS TRABALHADORES RURAIS DO ASS;ATIVADO                                                                           "
"SE;NOSSA SENHORA DO SOCORRO;2804805;ASSENTAMENTO;RURAL;CECAC  CENTRO DE CAPACITACAO CANUDOS;ATIVADO                                                                                                     "
"SE;NOSSA SENHORA DA GLORIA;2804508;ASSENTAMENTO;RURAL;TELECENTRO COEP ASSENTAMENTO JOSE RIBAMAR  ASSOCIACAO DOS PEQUENOS PRODUTORE;ATIVADO                                                              "
"SE;MONTE ALEGRE DE SERGIPE;2804201;ESCOLA;URBANO;KIT - ESCOLA MUNICIPAL MANOEL PEREIRA DE BARROS;ATIVADO                                                                                                "
"SE;LARANJEIRAS;2803609;ESCOLA;RURAL;POLO UAB  LARANJEIRAS;ATIVADO                                                                                                                                       "
"SE;DIVINA PASTORA;2802007;ESCOLA;RURAL;KIT - ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL PROFª MARIA IZABEL SIQUEIRA SANTOS;ATIVADO                                                                          "
"SE;CANINDE DE SAO FRANCISCO;2801207;ASSENTAMENTO;RURAL;TELECENTRO COEP CUIABA  ASSOCIACAO DOS PRODUTORES RURAIS DO ASSENTAMENTO CUIABA ;ATIVADO                                                         "
"SE;BREJO GRANDE;2800704;ESCOLA;URBANO;POLO UAB  BREJO GRANDE;ATIVADO                                                                                                                                    "
"SE;ARACAJU;2800308;BIBLIOTECA;URBANO;BIBLIOTECA  PUBLICA MUNICIPAL CLODOMIR SILVA;ATIVADO                                                                                                               "
"SE;ARACAJU;2800308;BIBLIOTECA;URBANO;KIT - BIBLIOTECA PUBLICA MUNICIPAL IVONE VIEIRA MENEZES;ATIVADO                                                                                                    "
"SC;XAVANTINA;4219606;ESCOLA;RURAL;KIT - ESCOLA DE ENSINO FUNDAMENTAL DEPUTADO MASSOLINI;ATIVADO                                                                                                         "
"SC;XANXERE;4219507;ESCOLA;RURAL;ESCOLA DE EDUCACAO BASICA VOLTAO;ATIVADO                                                                                                                                "
"SC;TIMBE DO SUL;4218103;ESCOLA;URBANO;EMEF MOLHA  COCO II;ATIVADO                                                                                                                                       "
"SC;TANGARA;4217907;ESCOLA;URBANO;KIT - CENTRO DE EDUCACAO MUNICIPAL;EM ATIVAÇÃO                                                                                                                         "
"SC;SAO JOSE DO CEDRO;4216701;ESCOLA;URBANO;KIT - CENTRO MUN DE ED GIRASSOL;EM ATIVAÇÃO                                                                                                                  "
"SC;SAO JOSE DO CEDRO;4216701;ESCOLA;RURAL;EEB SERAFIM BERTASO;ATIVADO                                                                                                                                   "
"SC;SAO FRANCISCO DO SUL;4216206;POSTO DE FRONTEIRA;URBANO;EB/QUARTEL FORTE MARECHAL LUZ;ATIVADO                                                                                                         "
"SC;RIO RUFINO;4215059;ESCOLA;RURAL;KIT - ESC NUCLEO DIVINO ESPIRITO SANTO;ATIVADO                                                                                                                       "
"SC;PORTO UNIAO;4213609;POSTO DE FRONTEIRA;URBANO;EB/5 BATALHAO DE ENGENHARIA DE COMBATE;ATIVADO                                                                                                         "
"SC;PASSOS MAIA;4212270;ESCOLA;RURAL;KIT - ESC EI E SERIES INICIAIS NS APARECIDA;ATIVADO                                                                                                                 "
"SC;LAGUNA;4209409;TC_BR;URBANO;TELECENTRO DA PESCA MARE  LAGUNA  SC;ATIVADO                                                                                                                             "
"SC;LAGUNA;4209409;POSTO DE FRONTEIRA;URBANO;MB/RADIO FAROL SANTA MARTA;ATIVADO                                                                                                                          "
"SC;JOSE BOITEUX;4209151;ESCOLA;RURAL;EIEB LAKLANO;ATIVADO                                                                                                                                               "
"SC;ITAPIRANGA;4208401;ESCOLA;URBANO;EEB SAO JOSE;ATIVADO                                                                                                                                                "
"SC;ITAJAI;4208203;POSTO DE FRONTEIRA;URBANO;MB/DELEGACIA DA CAPITANIA DOS PORTOS DE ITAJAI;ATIVADO                                                                                                      "
"SC;IRINEOPOLIS;4207908;ESCOLA;RURAL;KIT - NUCLEO EDUCACIONAL GUILHERME BOSSOW;ATIVADO                                                                                                                   "
"SC;GUARACIABA;4206405;ESCOLA;RURAL;EEB JULIO VICENTE DE PELEGRIN;ATIVADO                                                                                                                                "
"SC;GAROPABA;4205704;ESCOLA;URBANO;EPAGRI  BEIJA FLOR GAROPABA;ATIVADO                                                                                                                                   "
"SC;DIONISIO CERQUEIRA;4205001;ESCOLA;RURAL;EEF PROF DALILO QUINTINO PEREIRA;EM ATIVAÇÃO                                                                                                                 "
"SC;CERRO NEGRO;4204178;NÃO INFORMADO;URBANO;SECRETARIA MUNICIPAL DE EDUCACAO;ATIVADO                                                                                                                    "
"SC;CERRO NEGRO;4204178;NÃO INFORMADO;RURAL;SEDE DA ADM  SAO ROQUE RAITHZ;ATIVADO                                                                                                                        "
